ID,Name,RetailValue,WholesaleValue,Year,Count,UnitRetailValue,UnitWholesaleValue,Description,IsSummary,IsUnique,Container,Bag,GroupPreSort
17,Eisenhower Dollars,6,6,1971-1978,6,1,1,,TRUE,FALSE,Glass Jar,7,
17a,Eisenhower Dollars,1,1,1971,1,1,1,,FALSE,FALSE,,,
17b,Eisenhower Dollars,1,1,1971,1,1,1,,FALSE,FALSE,,,
17c,Eisenhower Dollars,1,1,1971,1,1,1,,FALSE,FALSE,,,
17d,Eisenhower Dollars,1,1,1974,1,1,1,,FALSE,FALSE,,,
17e,Eisenhower Dollars,1,1,1976,1,1,1,,FALSE,FALSE,,,
17f,Eisenhower Dollars,1,1,1978,1,1,1,,FALSE,FALSE,,,
18,SBA Dollars,4,4,1979,4,1,1,,TRUE,FALSE,Glass Jar,7,
18a,SBA Dollars,1,1,1979,1,1,1,,FALSE,FALSE,,,
18b,SBA Dollars,1,1,1979,1,1,1,,FALSE,FALSE,,,
18c,SBA Dollars,1,1,1979,1,1,1,,FALSE,FALSE,,,
18d,SBA Dollars,1,1,1979,1,1,1,,FALSE,FALSE,,,
19,Misc Foreign Coins,3.5,0.7,,1,3.5,0.7,,FALSE,TRUE,Glass Jar,8,
cash,Face Value Cash,8.68,8.68,,868,0.01,0.01,,FALSE,FALSE,,,
20,Modern Half,7,7,1972-1976,14,0.5,0.5,,FALSE,FALSE,Glass Jar,6,
21,Mercury Dime,21,15,1926,1,21,15,,FALSE,TRUE,,,
